title,wiki_page
A Plague Tale: Innocence,en.wikipedia.org/wiki/A_Plague_Tale:_Innocence
Alice: Madness Returns,https://en.wikipedia.org/wiki/Alice%3A_Madness_Returns
Alien: Isolation,https://en.wikipedia.org/wiki/Alien:_Isolation
American McGee's Alice,https://en.wikipedia.org/wiki/American_McGee%27s_Alice
Amnesia: Rebirth,en.wikipedia.org/wiki/Amnesia:_Rebirth
Amy,https://en.wikipedia.org/wiki/Amy_%28video_game%29
Anchorhead,https://en.wikipedia.org/wiki/Anchorhead
Araya,https://en.wikipedia.org/wiki/Araya_%28video_game%29
BloodRayne,https://en.wikipedia.org/wiki/BloodRayne_%28video_game%29
Clock Tower,en.wikipedia.org/wiki/Clock_Tower_(1995_video_game)
Clock Tower 3,en.wikipedia.org/wiki/Clock_Tower_3
Clock Tower II: The Struggle Within,en.wikipedia.org/wiki/Clock_Tower_II:_The_Struggle_Within
D,en.wikipedia.org/wiki/D_(video_game)
Deadly Premonition 2: A Blessing in Disguise,https://en.wikipedia.org/wiki/Deadly_Premonition_2%3A_A_Blessing_in_Disguise
Detention,en.wikipedia.org/wiki/Detention_(video_game)
Devotion,en.wikipedia.org/wiki/Devotion_(video_game)
Doki Doki Literature Club!,en.wikipedia.org/wiki/Doki_Doki_Literature_Club!
Echo Night: Beyond,en.wikipedia.org/wiki/Echo_Night:_Beyond
Emily Wants to Play,https://en.wikipedia.org/wiki/Emily_Wants_to_Play
Eternal Darkness: Sanity's Requiem,en.wikipedia.org/wiki/Eternal_Darkness
FAITH: The Unholy Trinity,en.wikipedia.org/wiki/Faith:_The_Unholy_Trinity
Fatal Frame,https://en.wikipedia.org/wiki/Fatal_Frame_(video_game)
Fatal Frame II: Crimson Butterfly,en.wikipedia.org/wiki/Fatal_Frame_II:_Crimson_Butterfly
Fatal Frame III: The Tormented,en.wikipedia.org/wiki/Fatal_Frame_III:_The_Tormented
Fatal Frame IV: Mask of the Lunar Eclipse,en.wikipedia.org/wiki/Fatal_Frame:_Mask_of_the_Lunar_Eclipse
Fatal Frame V: Maiden of Black Water,en.wikipedia.org/wiki/Fatal_Frame:_Maiden_of_Black_Water
Forbidden Siren 2,https://en.wikipedia.org/wiki/Forbidden_Siren_2
Fran Bow,en.wikipedia.org/wiki/Fran_Bow
Haunting Ground,en.wikipedia.org/wiki/Haunting_Ground
Ib,en.wikipedia.org/wiki/Ib_(video_game)
Koudelka,en.wikipedia.org/wiki/Koudelka
Layers of Fear,en.wikipedia.org/wiki/Layers_of_Fear
Layers of Fear 2,en.wikipedia.org/wiki/Layers_of_Fear_2
Life Weaver,https://en.wikipedia.org/wiki/Life_Weaver
Little Goody Two Shoes,https://en.wikipedia.org/wiki/Little_Goody_Two_Shoes_%28video_game%29
Little Misfortune,en.wikipedia.org/wiki/Little_Misfortune
Little Nightmares,en.wikipedia.org/wiki/Little_Nightmares
Mad Father,en.wikipedia.org/wiki/Mad_Father
Maid of Sker,https://en.wikipedia.org/wiki/Maid_of_Sker_%28video_game%29
Martha Is Dead,https://en.wikipedia.org/wiki/Martha_Is_Dead
Milk Inside a Bag of Milk Inside a Bag of Milk,en.wikipedia.org/wiki/Milk_inside_a_bag_of_milk_inside_a_bag_of_milk
Milk Outside a Bag of Milk Outside a Bag of Milk,en.wikipedia.org/wiki/Milk_outside_a_bag_of_milk_outside_a_bag_of_milk
Misao,en.wikipedia.org/wiki/Misao_(video_game)
Outlast 2,en.wikipedia.org/wiki/Outlast_2
Oxenfree II: Lost Signals,en.wikipedia.org/wiki/Oxenfree_II:_Lost_Signals
Parasite Eve,https://en.wikipedia.org/wiki/Parasite_Eve_(video_game)
Phantasmagoria,https://en.wikipedia.org/wiki/Phantasmagoria_%28video_game%29
Remothered: Broken Porcelain,en.wikipedia.org/wiki/Remothered:_Broken_Porcelain
Remothered: Tormented Fathers,en.wikipedia.org/wiki/Remothered:_Tormented_Fathers
Resident Evil 2,https://en.wikipedia.org/wiki/Resident_Evil_2_%282019_video_game%29
Resident Evil 3: Nemesis,https://en.wikipedia.org/wiki/Resident_Evil_3%3A_Nemesis
Resident Evil 4,https://en.wikipedia.org/wiki/Resident_Evil_4
Resident Evil 5,https://en.wikipedia.org/wiki/Resident_Evil_5
Resident Evil: Code Veronica,en.wikipedia.org/wiki/Resident_Evil_Code:_Veronica
Rule of Rose,en.wikipedia.org/wiki/Rule_of_Rose
Scarlet Hollow,https://en.wikipedia.org/wiki/Scarlet_Hollow
Scorn,https://en.wikipedia.org/wiki/Scorn_(video_game)
Senua's Saga: Hellblade II,https://en.wikipedia.org/wiki/Senua%27s_Saga%3A_Hellblade_II
