title,wiki_page,category,has_female_protagonist,evidence_type,evidence_sentence
Horror game,https://en.wikipedia.org/wiki/Horror_game,,False,,
List of horror games,https://en.wikipedia.org/wiki/List_of_horror_games,,False,,
Aaahh!!! Real Monsters (video game),https://en.wikipedia.org/wiki/Aaahh%21%21%21_Real_Monsters_%28video_game%29,1990s horror video games,False,,
Anatomy (video game),https://en.wikipedia.org/wiki/Anatomy_%28video_game%29,,False,,
Are You Afraid of the Dark? The Tale of Orpheo's Curse,https://en.wikipedia.org/wiki/Are_You_Afraid_of_the_Dark%3F_The_Tale_of_Orpheo%27s_Curse,1990s horror video games,False,,
Blood of the Werewolf,https://en.wikipedia.org/wiki/Blood_of_the_Werewolf,Werewolf video games,False,,
BloodRayne (video game),https://en.wikipedia.org/wiki/BloodRayne_%28video_game%29,BloodRayne; Video games about vampires; Video games about zombies,False,,
Bloom (mod),https://en.wikipedia.org/wiki/Bloom_%28mod%29,Video games about demons; Dark fantasy video games,False,,
Bramble: The Mountain King,https://en.wikipedia.org/wiki/Bramble%3A_The_Mountain_King,Dark fantasy video games,False,,
Broken Spectre,https://en.wikipedia.org/wiki/Broken_Spectre,Survival horror video games,False,,
Brother Hai's Pho Restaurant,https://en.wikipedia.org/wiki/Brother_Hai%27s_Pho_Restaurant,,False,,
Buckshot Roulette,https://en.wikipedia.org/wiki/Buckshot_Roulette,,False,,
Castlevania,https://en.wikipedia.org/wiki/Castlevania,Video games about demons; Video games about vampires; Dark fantasy video games,False,,
The Children of Clay,https://en.wikipedia.org/wiki/The_Children_of_Clay,,False,,
Daemonica,https://en.wikipedia.org/wiki/Daemonica,2000s horror video games; Video games about demons; Dark fantasy video games,False,,
Dark Matter (video game),https://en.wikipedia.org/wiki/Dark_Matter_%28video_game%29,,False,,
The Dark Pictures: Switchback VR,https://en.wikipedia.org/wiki/The_Dark_Pictures%3A_Switchback_VR,The Dark Pictures Anthology,False,,
Dark Salvation,https://en.wikipedia.org/wiki/Dark_Salvation,Video games about zombies,False,,
Dark Train,https://en.wikipedia.org/wiki/Dark_Train,,True,control+female_term,the protagonist is ann tagrezbung from the times when she was a human.
Darkness Within 2: The Dark Lineage,https://en.wikipedia.org/wiki/Darkness_Within_2%3A_The_Dark_Lineage,Cthulhu Mythos video games,False,,
Darkness Within: In Pursuit of Loath Nolder,https://en.wikipedia.org/wiki/Darkness_Within%3A_In_Pursuit_of_Loath_Nolder,,False,,
Darkstalkers,https://en.wikipedia.org/wiki/Darkstalkers,Video games about vampires,False,,
The Day Before,https://en.wikipedia.org/wiki/The_Day_Before,Video games about zombies,False,,
Dead Letter Dept. (video game),https://en.wikipedia.org/wiki/Dead_Letter_Dept._%28video_game%29,,False,,
Dead Realm,https://en.wikipedia.org/wiki/Dead_Realm,,False,,
Dead Rising,https://en.wikipedia.org/wiki/Dead_Rising,Dead Rising; Video games about zombies,False,,
Dead Secret,https://en.wikipedia.org/wiki/Dead_Secret,,False,,
Dead Space,https://en.wikipedia.org/wiki/Dead_Space,Video games about zombies,True,protagonist+she,"calling it ""surprisingly strong for a default weapon"" and ""incredibly suited to cutting off limbs"", she compares it to resident evil 4 , in which pistols lose their effectiveness later in the game, requiring protagonist leon kennedy to amass a ""huge arsenal"", while the plasma cutter never loses its effectiveness regardless of what new necromorph is introduced"
Dead Trigger 2,https://en.wikipedia.org/wiki/Dead_Trigger_2,Video games about zombies,False,,
Deadlight (video game),https://en.wikipedia.org/wiki/Deadlight_%28video_game%29,Video games about zombies,False,,
Deadly Premonition 2: A Blessing in Disguise,https://en.wikipedia.org/wiki/Deadly_Premonition_2%3A_A_Blessing_in_Disguise,Survival horror video games; 2020s horror video games,True,control+female_term,"in the first, the player assumes the role of fbi agent aaliyah davis, who interrogates francis zach morgan in his apartment about his handling of a case involving the murder of a teenage girl"
Deathmaze 5000,https://en.wikipedia.org/wiki/Deathmaze_5000,,False,,
Decap Attack,https://en.wikipedia.org/wiki/Decap_Attack,,False,,
Deception IV: Blood Ties,https://en.wikipedia.org/wiki/Deception_IV%3A_Blood_Ties,,False,,
Deep Sleep,https://en.wikipedia.org/wiki/Deep_Sleep,,False,,
Dere Evil Exe,https://en.wikipedia.org/wiki/Dere_Evil_Exe,,False,,
Distrust (video game),https://en.wikipedia.org/wiki/Distrust_%28video_game%29,Survival horror video games; 2010s horror video games,False,,
Don't Knock Twice (video game),https://en.wikipedia.org/wiki/Don%27t_Knock_Twice_%28video_game%29,,True,control+female_term,"the player takes the role of a guilt-ridden mother who must save her estranged daughter by uncovering the truth behind the urban tale of a vengeful, demonic witch"
Doom (franchise),https://en.wikipedia.org/wiki/Doom_%28franchise%29,Video games about demons,False,,
Doom II,https://en.wikipedia.org/wiki/Doom_II,Doom (franchise) games; Video games about demons; 1990s horror video games,False,,
Doom 3: Resurrection of Evil,https://en.wikipedia.org/wiki/Doom_3%3A_Resurrection_of_Evil,Doom (franchise) games; Video games about demons,False,,
Doom Eternal,https://en.wikipedia.org/wiki/Doom_Eternal,Doom (franchise) games; Video games about demons,False,,
Doom II RPG,https://en.wikipedia.org/wiki/Doom_II_RPG,Doom (franchise) games; Horror video game stubs,False,,
Doom Resurrection,https://en.wikipedia.org/wiki/Doom_Resurrection,Doom (franchise) games; Video games about demons,False,,
Doom RPG,https://en.wikipedia.org/wiki/Doom_RPG,Doom (franchise) games; Video games about demons,False,,
Elvira: Mistress of the Dark (video game),https://en.wikipedia.org/wiki/Elvira%3A_Mistress_of_the_Dark_%28video_game%29,Video games about ghosts,False,,
Elvira II: The Jaws of Cerberus,https://en.wikipedia.org/wiki/Elvira_II%3A_The_Jaws_of_Cerberus,,True,control+female_term,"the main character is elvira 's boyfriend, whose mission is to save elvira, captured by the demon cerberus who wants to use her magical power for his own aims"
The Excavation of Hob's Barrow,https://en.wikipedia.org/wiki/The_Excavation_of_Hob%27s_Barrow,,False,,
Filthbreed,https://en.wikipedia.org/wiki/Filthbreed,Haunted PS1 games,False,,
The Flock (video game),https://en.wikipedia.org/wiki/The_Flock_%28video_game%29,,False,,
Ghost Chaser,https://en.wikipedia.org/wiki/Ghost_Chaser,Video games about ghosts,False,,
Ghosts (video game),https://en.wikipedia.org/wiki/Ghosts_%28video_game%29,,False,,
Ghouls 'n Ghosts,https://en.wikipedia.org/wiki/Ghouls_%27n_Ghosts,Ghosts 'n Goblins; Video games about ghosts; Dark fantasy video games; Video games about zombies,False,,
Ghox,https://en.wikipedia.org/wiki/Ghox,,False,,
Gibbous - A Cthulhu Adventure,https://en.wikipedia.org/wiki/Gibbous_-_A_Cthulhu_Adventure,Cthulhu Mythos video games,False,,
Go Home Annie,https://en.wikipedia.org/wiki/Go_Home_Annie,,False,,
Goosebumps: Escape from Horrorland,https://en.wikipedia.org/wiki/Goosebumps%3A_Escape_from_Horrorland,,False,,
Grabbed by the Ghoulies,https://en.wikipedia.org/wiki/Grabbed_by_the_Ghoulies,Video games about zombies,False,,
Gregory Horror Show (video game),https://en.wikipedia.org/wiki/Gregory_Horror_Show_%28video_game%29,2000s horror video games; Video games about zombies; Video games about skeletons,False,,
Grimm's Hollow,https://en.wikipedia.org/wiki/Grimm%27s_Hollow,2010s horror video games,True,control+female_term,"the player controls a singular player character, lavender, as she navigates through the hollow (the game's central town) and ghost caverns"
Grouch (video game),https://en.wikipedia.org/wiki/Grouch_%28video_game%29,,False,,
Grunn,https://en.wikipedia.org/wiki/Grunn,,False,,
Hatred (video game),https://en.wikipedia.org/wiki/Hatred_%28video_game%29,,False,,
Haunting (video game),https://en.wikipedia.org/wiki/Haunting_%28video_game%29,Video games about ghosts,False,,
Area 51 (1995 video game),https://en.wikipedia.org/wiki/Area_51_%281995_video_game%29,,False,,
Hrot,https://en.wikipedia.org/wiki/Hrot,Dark fantasy video games,False,,
Hunt: Showdown,https://en.wikipedia.org/wiki/Hunt%3A_Showdown,,False,,
Insane (cancelled video game),https://en.wikipedia.org/wiki/Insane_%28cancelled_video_game%29,,False,,
Kara no Shōjo,https://en.wikipedia.org/wiki/Kara_no_Sh%C5%8Djo,,False,,
Kenseiden,https://en.wikipedia.org/wiki/Kenseiden,,False,,
Killer7,https://en.wikipedia.org/wiki/Killer7,,False,,
Kiss: Psycho Circus - The Nightmare Child,https://en.wikipedia.org/wiki/Kiss%3A_Psycho_Circus_-_The_Nightmare_Child,,False,,
Kurokishi no Kamen,https://en.wikipedia.org/wiki/Kurokishi_no_Kamen,Video games about ghosts,False,,
Last Half of Darkness,https://en.wikipedia.org/wiki/Last_Half_of_Darkness,2000s horror video games; 2010s horror video games; 1990s horror video games; 1980s horror video games,False,,
Last Year (video game),https://en.wikipedia.org/wiki/Last_Year_%28video_game%29,Survival horror video games,False,,
The Legacy: Realm of Terror,https://en.wikipedia.org/wiki/The_Legacy%3A_Realm_of_Terror,Cthulhu Mythos video games,False,,
Lit (video game),https://en.wikipedia.org/wiki/Lit_%28video_game%29,,False,,
Little Goody Two Shoes (video game),https://en.wikipedia.org/wiki/Little_Goody_Two_Shoes_%28video_game%29,Dark fantasy video games,True,control+female_term,"players control a girl called elise, who attempts to avoid horrific monsters in the enchanted woods while searching for a way to escape her mundane life"
Lobotomy Corporation,https://en.wikipedia.org/wiki/Lobotomy_Corporation,,False,,
The Lost (video game),https://en.wikipedia.org/wiki/The_Lost_%28video_game%29,,False,,
Lust for Darkness,https://en.wikipedia.org/wiki/Lust_for_Darkness,,True,control+female_term,"players control jonathan moon, who has spent the past year searching for his wife amanda after she disappeared abruptly"
Lust from Beyond,https://en.wikipedia.org/wiki/Lust_from_Beyond,,False,,
Majūō,https://en.wikipedia.org/wiki/Maj%C5%AB%C5%8D,Video games about demons,False,,
Maniac Mansion,https://en.wikipedia.org/wiki/Maniac_Mansion,,False,,
MediEvil,https://en.wikipedia.org/wiki/MediEvil,Dark fantasy video games; MediEvil,False,,
MediEvil (series),https://en.wikipedia.org/wiki/MediEvil_%28series%29,MediEvil,False,,
MediEvil 2,https://en.wikipedia.org/wiki/MediEvil_2,Video games about mummies; Dark fantasy video games; MediEvil; Video games about zombies,False,,
MediEvil: Resurrection,https://en.wikipedia.org/wiki/MediEvil%3A_Resurrection,Dark fantasy video games; MediEvil,False,,
Mondo Medicals,https://en.wikipedia.org/wiki/Mondo_Medicals,,False,,
Monster House (video game),https://en.wikipedia.org/wiki/Monster_House_%28video_game%29,Survival horror video games,False,,
Monster Smash,https://en.wikipedia.org/wiki/Monster_Smash,,False,,
The Mortuary Assistant,https://en.wikipedia.org/wiki/The_Mortuary_Assistant,Video games about demons; 2020s horror video games,True,control+female_term,"players control rebecca owens, an assistant at a mortuary who embalms corpses under the watch of her boss, raymond delver"
Musya,https://en.wikipedia.org/wiki/Musya,Dark fantasy video games,False,,
Nanatsu no Hikan: Senritsu no Bishō,https://en.wikipedia.org/wiki/Nanatsu_no_Hikan%3A_Senritsu_no_Bish%C5%8D,,False,,
Near-Mage,https://en.wikipedia.org/wiki/Near-Mage,Cthulhu Mythos video games,False,,
Necronomicon: The Dawning of Darkness,https://en.wikipedia.org/wiki/Necronomicon%3A_The_Dawning_of_Darkness,Cthulhu Mythos video games,False,,
Neverway,https://en.wikipedia.org/wiki/Neverway,,False,,
Nightmare Circus,https://en.wikipedia.org/wiki/Nightmare_Circus,Video games about ghosts,False,,
Nightmare Ned,https://en.wikipedia.org/wiki/Nightmare_Ned,1990s horror video games; Dark fantasy video games,False,,
Noct (video game),https://en.wikipedia.org/wiki/Noct_%28video_game%29,Survival horror video games,False,,
Obscure II,https://en.wikipedia.org/wiki/Obscure_II,,False,,
OD (video game),https://en.wikipedia.org/wiki/OD_%28video_game%29,,False,,
Papa Sangre,https://en.wikipedia.org/wiki/Papa_Sangre,,False,,
Paranormal Tales,https://en.wikipedia.org/wiki/Paranormal_Tales,,False,,
Phasmophobia (video game),https://en.wikipedia.org/wiki/Phasmophobia_%28video_game%29,Video games about ghosts,False,,
R-Type Delta,https://en.wikipedia.org/wiki/R-Type_Delta,,False,,
R-Type Final,https://en.wikipedia.org/wiki/R-Type_Final,,False,,
Radiolight,https://en.wikipedia.org/wiki/Radiolight,,False,,
